Model,Accuracy,Precision,Recall,F1 Score,Inference Time (s)
VGG16,0.33076923076923076,0.3104072507677242,0.33076923076923076,0.29844484876880384,29.691429376602173
ResNet50,0.4641025641025641,0.5121731450634165,0.4641025641025641,0.4621985732442524,18.314537286758423
MobileNetV2,0.4,0.3934796929300444,0.4,0.38535381045441425,8.776566505432129
EfficientNetB0,0.40512820512820513,0.3581229305848897,0.40512820512820513,0.3675619424475286,13.212709426879883
YOLOv8,,0.71641,0.4989,,6.190391540527344
